flight_id,flight_number,aircraft_id,departure_airport,arrival_airport,scheduled_departure,scheduled_arrival,actual_departure,actual_arrival,flight_status,created_at,updated_at
FL00001,DL4342,AC0030,MCQ,EXJ,2023-12-24 09:12:00,2023-12-24 17:12:00,2023-12-24 09:12:00,2023-12-24 17:12:00,Delayed,2022-09-18,2022-09-18
FL00002,UA1761,AC0027,XYK,PFA,2023-10-16 07:03:00,2023-10-16 19:03:00,2023-10-16 07:03:00,2023-10-16 19:03:00,Delayed,2020-03-22,2022-07-27
FL00003,AA9625,AC0040,MZY,XIL,2023-06-18 13:27:00,2023-06-18 23:27:00,2023-06-18 13:27:00,2023-06-18 23:27:00,On Time,2022-12-03,2022-12-19
FL00004,AA6882,AC0020,MKO,GIS,2023-05-26 15:05:00,2023-05-27 01:05:00,2023-05-26 15:05:00,2023-05-27 01:05:00,Delayed,2021-02-02,2022-05-30
FL00005,UA1556,AC0006,MKO,EGA,2023-09-30 03:18:00,2023-09-30 06:18:00,2023-09-30 03:18:00,2023-09-30 06:18:00,Delayed,2021-05-26,2022-12-15
FL00006,BA8250,AC0007,NRQ,YXX,2023-02-01 22:24:00,2023-02-02 01:24:00,2023-02-01 22:24:00,2023-02-02 01:24:00,Delayed,2021-08-05,2022-04-11
FL00007,LH2904,AC0004,EEF,OFX,2023-10-04 20:52:00,2023-10-05 06:52:00,2023-10-04 20:52:00,2023-10-05 06:52:00,On Time,2020-07-10,2022-02-25
FL00008,AA9715,AC0025,VRJ,GUE,2023-05-15 06:57:00,2023-05-15 17:57:00,2023-05-15 06:57:00,2023-05-15 17:57:00,Delayed,2022-07-18,2022-12-21
FL00009,DL8708,AC0040,SYI,DZJ,2023-09-26 10:15:00,2023-09-26 20:15:00,2023-09-26 10:15:00,2023-09-26 20:15:00,Delayed,2022-08-20,2022-04-09
FL00010,BA489,AC0028,NRQ,PFA,2023-04-10 17:58:00,2023-04-11 01:58:00,2023-04-10 17:58:00,2023-04-11 01:58:00,On Time,2021-03-29,2022-01-29
FL00011,UA956,AC0048,HZP,XIL,2023-11-13 03:02:00,2023-11-13 07:02:00,2023-11-13 03:02:00,2023-11-13 07:02:00,On Time,2020-05-27,2022-05-17
FL00012,UA4354,AC0022,BHO,SYI,2023-11-16 06:33:00,2023-11-16 11:33:00,2023-11-16 06:33:00,2023-11-16 11:33:00,Delayed,2020-07-16,2022-03-05
FL00013,UA491,AC0028,EEF,BRC,2023-12-03 17:05:00,2023-12-03 23:05:00,2023-12-03 17:05:00,2023-12-03 23:05:00,On Time,2021-08-22,2022-09-30
FL00014,AA7675,AC0045,EPT,WUE,2023-07-17 12:42:00,2023-07-17 16:42:00,,,Cancelled,2022-08-24,2022-11-03
FL00015,LH2259,AC0021,MCQ,NRQ,2023-02-04 20:37:00,2023-02-05 03:37:00,2023-02-04 20:37:00,2023-02-05 03:37:00,On Time,2022-07-07,2022-08-03
FL00016,AA3810,AC0029,CZS,AGZ,2023-02-15 17:32:00,2023-02-16 05:32:00,2023-02-15 17:32:00,2023-02-16 05:32:00,Delayed,2022-01-13,2022-03-27
FL00017,BA6453,AC0029,YWA,RYZ,2023-12-15 00:59:00,2023-12-15 10:59:00,2023-12-15 00:59:00,2023-12-15 10:59:00,Delayed,2020-01-01,2022-12-17
FL00018,BA2133,AC0028,INO,XYK,2023-10-02 18:28:00,2023-10-02 21:28:00,2023-10-02 18:28:00,2023-10-02 21:28:00,On Time,2022-04-11,2022-08-05
FL00019,AA6399,AC0049,SYI,ZBQ,2023-11-15 17:09:00,2023-11-15 19:09:00,,,Cancelled,2021-11-12,2022-11-09
FL00020,BA6315,AC0048,MCQ,VXN,2023-10-11 17:51:00,2023-10-11 18:51:00,2023-10-11 17:51:00,2023-10-11 18:51:00,On Time,2020-08-27,2022-01-09
FL00021,LH962,AC0005,NRQ,UPD,2023-05-28 22:13:00,2023-05-29 07:13:00,2023-05-28 22:13:00,2023-05-29 07:13:00,Delayed,2021-05-07,2022-12-28
FL00022,BA5294,AC0001,UPD,GUE,2023-09-15 23:53:00,2023-09-16 08:53:00,,,Cancelled,2022-12-15,2022-09-01
FL00023,DL3712,AC0008,BMW,EEF,2023-10-16 02:21:00,2023-10-16 07:21:00,,,Cancelled,2022-02-16,2022-09-16
FL00024,UA9363,AC0018,WUE,JMW,2023-10-11 23:57:00,2023-10-12 08:57:00,2023-10-11 23:57:00,2023-10-12 08:57:00,On Time,2021-07-08,2022-10-06
FL00025,AA6566,AC0014,GUE,FWE,2023-04-20 08:44:00,2023-04-20 15:44:00,2023-04-20 08:44:00,2023-04-20 15:44:00,On Time,2021-02-04,2022-12-27
FL00026,LH992,AC0013,DZJ,SYI,2023-09-24 15:22:00,2023-09-25 01:22:00,,,Cancelled,2020-12-30,2022-08-05
FL00027,UA4168,AC0045,INO,FUN,2023-06-06 18:27:00,2023-06-07 06:27:00,,,Cancelled,2022-07-03,2022-11-02
FL00028,AA5154,AC0019,ZBQ,HZP,2023-02-10 12:25:00,2023-02-10 16:25:00,,,Cancelled,2021-11-01,2022-09-20
FL00029,AA4457,AC0037,BHO,VRJ,2023-08-01 08:07:00,2023-08-01 14:07:00,2023-08-01 08:07:00,2023-08-01 14:07:00,Delayed,2022-08-08,2022-06-18
FL00030,LH7491,AC0027,EPT,GUE,2023-07-29 07:57:00,2023-07-29 15:57:00,2023-07-29 07:57:00,2023-07-29 15:57:00,Delayed,2021-11-29,2022-10-04
FL00031,UA7498,AC0003,MZY,ZBQ,2023-08-06 08:00:00,2023-08-06 16:00:00,2023-08-06 08:00:00,2023-08-06 16:00:00,Delayed,2020-10-09,2022-01-04
FL00032,BA2517,AC0046,INO,EPT,2023-05-05 02:53:00,2023-05-05 12:53:00,,,Cancelled,2020-04-07,2022-06-25
FL00033,LH8830,AC0002,DWY,GIS,2023-05-17 02:47:00,2023-05-17 08:47:00,2023-05-17 02:47:00,2023-05-17 08:47:00,On Time,2021-11-16,2022-07-22
FL00034,LH9077,AC0022,DZJ,GUE,2023-08-14 22:03:00,2023-08-15 01:03:00,2023-08-14 22:03:00,2023-08-15 01:03:00,Delayed,2022-01-10,2022-07-27
FL00035,AA9286,AC0032,BMW,FJK,2023-03-22 12:14:00,2023-03-22 23:14:00,,,Cancelled,2022-04-08,2022-03-18
FL00036,DL583,AC0013,VKZ,YXX,2023-02-28 08:16:00,2023-02-28 17:16:00,,,Cancelled,2022-11-16,2022-04-04
FL00037,AA1502,AC0026,XIL,ZBQ,2023-06-13 19:32:00,2023-06-14 03:32:00,2023-06-13 19:32:00,2023-06-14 03:32:00,Delayed,2022-03-13,2022-10-07
FL00038,UA7093,AC0048,YLS,EGA,2023-11-02 16:13:00,2023-11-02 18:13:00,2023-11-02 16:13:00,2023-11-02 18:13:00,Delayed,2020-11-21,2022-09-27
FL00039,LH8796,AC0039,VXN,NAN,2023-12-26 06:57:00,2023-12-26 13:57:00,2023-12-26 06:57:00,2023-12-26 13:57:00,Delayed,2022-07-23,2022-07-25
FL00040,BA7389,AC0036,AJF,ZBQ,2023-03-13 10:57:00,2023-03-13 16:57:00,2023-03-13 10:57:00,2023-03-13 16:57:00,On Time,2021-07-05,2022-10-08
FL00041,DL649,AC0021,BMW,MKO,2023-03-23 05:21:00,2023-03-23 13:21:00,2023-03-23 05:21:00,2023-03-23 13:21:00,Delayed,2022-06-28,2022-11-24
FL00042,LH533,AC0034,OFX,EEF,2023-09-23 19:14:00,2023-09-24 03:14:00,2023-09-23 19:14:00,2023-09-24 03:14:00,Delayed,2022-04-26,2022-08-09
FL00043,AA6103,AC0008,NRQ,INO,2023-03-29 16:15:00,2023-03-30 00:15:00,2023-03-29 16:15:00,2023-03-30 00:15:00,On Time,2020-09-24,2022-09-03
FL00044,UA4679,AC0049,LTH,YXX,2023-11-30 08:35:00,2023-11-30 09:35:00,2023-11-30 08:35:00,2023-11-30 09:35:00,Delayed,2020-01-15,2022-11-05
FL00045,DL7870,AC0003,TJS,YZY,2023-08-31 03:34:00,2023-08-31 14:34:00,2023-08-31 03:34:00,2023-08-31 14:34:00,On Time,2022-03-16,2022-05-10
