reservation_id,ticket_number,passenger_id,channel_id,promotion_id,fare_basis_id,flight_id,booking_date,departure_date,booking_class,seat_number,promotion_amount,tax_amount,operational_fees,cancellation_fees,fare_price,final_price,is_cancelled,cancellation_reason,cancellation_date,created_at,updated_at
RS000001,TK752224854,PA000049,2,,FB0036,FL00478,2022-01-03 04:33:24,2023-03-18 09:30:33,Y,35B,0.0,28.45,35.35,0.0,284.49,348.29,False,,,2022-04-10 13:44:52,2022-11-13 10:10:59
RS000002,TK464674613,PA003000,1,PR0015,FB0041,FL00962,2022-10-16 11:08:30,2023-01-01 00:50:07,Y,11E,31.19,28.45,18.96,0.0,284.49,300.71,False,,,2022-06-21 03:03:20,2022-05-04 21:24:09
RS000003,TK690795588,PA004676,2,,FB0048,FL00360,2022-08-31 09:04:21,2023-02-14 06:06:05,Y,41A,0.0,28.45,29.44,0.0,284.49,342.38,False,,,2022-10-02 01:58:45,2022-06-14 05:34:01
RS000004,TK229239490,PA006125,1,,FB0012,FL00034,2022-12-07 21:39:16,2023-03-05 17:57:17,Y,14B,0.0,28.45,32.53,0.0,284.49,345.47,False,,,2022-01-05 17:55:29,2022-08-29 21:59:31
RS000005,TK724566847,PA005365,2,,FB0031,FL00308,2022-06-02 02:00:55,2023-05-11 19:49:15,Y,9D,0.0,28.45,49.32,0.0,284.49,362.26,False,,,2022-10-23 16:18:20,2022-06-07 13:01:33
RS000006,TK592973539,PA007061,1,,FB0001,FL00253,2022-04-01 14:07:02,2023-10-22 17:30:54,Y,35E,0.0,28.45,44.29,0.0,284.49,357.23,False,,,2022-04-02 16:33:19,2022-05-02 05:16:08
RS000007,TK854564249,PA009144,2,PR0020,FB0011,FL00231,2022-12-10 04:37:22,2023-07-17 04:30:36,Y,45C,98.1,28.45,32.5,0.0,284.49,247.34,False,,,2022-11-14 04:03:00,2022-05-02 21:29:49
RS000008,TK135822473,PA005704,2,,FB0021,FL00605,2022-12-23 11:23:50,2023-08-12 19:01:16,Y,22E,0.0,28.45,44.98,56.9,284.49,357.92,True,Schedule change,2023-12-22 18:07:20,2022-01-14 11:39:20,2022-11-01 01:38:15
RS000009,TK234349989,PA002196,1,,FB0039,FL00375,2022-02-09 02:37:28,2023-02-20 11:51:56,Y,26E,0.0,28.45,28.15,0.0,284.49,341.09,False,,,2022-12-31 21:07:20,2022-08-02 09:19:24
RS000010,TK762703630,PA000183,2,,FB0047,FL00179,2022-10-08 19:28:09,2023-07-28 10:53:22,Y,6C,0.0,28.45,25.48,0.0,284.49,338.42,False,,,2022-11-11 01:12:55,2022-06-26 03:38:12
RS000011,TK657902291,PA000722,1,PR0017,FB0017,FL00267,2022-01-24 15:37:03,2023-06-20 18:54:27,Y,3F,36.48,28.45,37.09,0.0,284.49,313.54999999999995,False,,,2022-04-20 12:58:53,2022-02-27 20:28:16
RS000012,TK252091413,PA000038,2,PR0015,FB0033,FL00279,2022-11-19 14:23:18,2023-08-31 01:52:51,Y,43A,36.61,28.45,39.87,0.0,284.49,316.2,False,,,2022-04-29 05:03:05,2022-11-02 17:21:19
RS000013,TK437484676,PA007820,2,PR0006,FB0009,FL00824,2022-12-30 04:42:03,2023-12-29 10:35:35,Y,4B,39.33,28.45,16.42,0.0,284.49,290.03000000000003,False,,,2022-03-10 21:22:19,2022-10-01 10:54:36
RS000014,TK207677016,PA005189,2,PR0012,FB0046,FL00433,2022-05-22 04:04:10,2023-06-23 05:18:32,Y,48D,58.19,28.45,28.01,0.0,284.49,282.76,False,,,2022-01-21 15:38:55,2022-12-30 13:20:04
RS000015,TK555985134,PA007247,2,PR0005,FB0042,FL00099,2022-11-05 02:25:08,2023-11-24 09:12:30,Y,24E,19.39,28.45,15.92,0.0,284.49,309.47,False,,,2022-05-10 05:10:00,2022-03-17 00:40:28
RS000016,TK401982106,PA009751,2,,FB0037,FL00461,2022-06-20 05:06:17,2023-01-09 19:41:44,Y,34F,0.0,28.45,16.58,0.0,284.49,329.52,False,,,2022-11-01 16:26:25,2022-05-04 02:17:47
RS000017,TK746646625,PA004520,1,PR0016,FB0001,FL00590,2022-02-25 13:37:57,2023-07-20 11:39:44,Y,36B,18.71,28.45,36.48,0.0,284.49,330.71000000000004,False,,,2022-11-17 00:15:36,2022-08-20 12:15:44
RS000018,TK669997812,PA000450,2,PR0001,FB0029,FL00521,2022-05-24 19:49:49,2023-04-26 17:51:41,Y,12A,30.47,28.45,43.44,0.0,284.49,325.90999999999997,False,,,2022-06-22 02:14:06,2022-05-27 16:03:36
RS000019,TK174223769,PA009056,2,,FB0032,FL00057,2022-08-13 03:20:40,2023-02-20 02:30:06,Y,41D,0.0,28.45,21.24,0.0,284.49,334.18,False,,,2022-09-08 13:28:30,2022-01-10 10:47:33
RS000020,TK890078442,PA002975,2,,FB0032,FL00106,2022-01-31 21:32:02,2023-02-14 17:24:22,Y,23F,0.0,28.45,39.93,0.0,284.49,352.87,False,,,2022-09-28 08:19:15,2022-05-17 15:43:04
RS000021,TK240276709,PA006094,1,PR0003,FB0032,FL00802,2022-03-28 01:59:40,2023-11-16 08:33:51,Y,37C,26.19,28.45,32.17,0.0,284.49,318.92,False,,,2022-11-01 13:18:27,2022-12-24 03:51:59
RS000022,TK284832744,PA002346,1,,FB0035,FL00487,2022-11-29 06:21:55,2023-05-22 23:09:44,Y,34B,0.0,28.45,39.03,0.0,284.49,351.97,False,,,2022-03-07 11:30:30,2022-12-31 04:19:28
RS000023,TK342144514,PA009010,2,,FB0022,FL00384,2022-05-19 01:51:33,2023-08-19 09:19:13,Y,11A,0.0,28.45,24.1,0.0,284.49,337.04,False,,,2022-01-08 02:02:50,2022-04-12 01:06:06
RS000024,TK489021218,PA006453,2,PR0020,FB0040,FL00645,2022-05-03 07:31:47,2023-11-02 11:26:25,Y,43C,62.81,28.45,34.54,0.0,284.49,284.67,False,,,2022-12-30 19:57:38,2022-08-04 00:23:43
RS000025,TK731482583,PA002196,1,,FB0017,FL00175,2022-12-31 02:28:37,2023-05-20 19:41:40,Y,21B,0.0,28.45,23.1,0.0,284.49,336.04,False,,,2022-01-07 11:10:40,2022-11-02 14:55:20
RS000026,TK466593283,PA007470,1,,FB0043,FL00595,2022-12-24 05:33:45,2023-04-29 21:34:39,Y,44D,0.0,28.45,19.21,0.0,284.49,332.15,False,,,2022-04-20 19:43:35,2022-05-14 01:49:05
RS000027,TK821899411,PA000576,1,PR0006,FB0028,FL00292,2022-11-02 11:34:49,2023-06-08 06:29:06,Y,47C,93.94,28.45,27.99,0.0,284.49,246.99,False,,,2022-06-21 01:00:37,2022-04-29 17:25:48
